reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.9598898887634277,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.9472861289978027,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.6023154258728027,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.5501458644866943,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.5851609706878662,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.5848138332366943,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.447641134262085,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,3.9402477741241455,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,3.992936372756958,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.578488349914551,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.634224891662598,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.6174023151397705,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,7.048588752746582,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.03545951843261719,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.06688690185546875,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.034633636474609375,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.23664307594299316,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,0.10003495216369629,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.12388062477111816,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.6343634128570557,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,1.1404411792755127,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,1.2166016101837158,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.893113136291504,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.967501640319824,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.797400712966919,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,4.225165367126465,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.6386659145355225,adsorbate_migration
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.6359555721282959,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.6749951839447021,normal
Ag12_H2O(g) - H2(g) + * -> O*,O,1.9617996856357536,2.076838970184326,normal
Ag12_H2O(g) - H2(g) + * -> O*_1,O,2.0506805009388813,2.138331890106201,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,1.3874351285820694,1.4628713130950928,normal
Ag12_H2O(g) - H2(g) + * -> O*_2,O,3.426808483239995,3.5328993797302246,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*,SH,0.0390709212525735,-0.327831506729126,adsorbate_migration
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,-0.0825627400471376,-0.15067315101623535,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,-0.06756368924732215,-0.1236727237701416,normal
Ag12_H2S(g) - H2(g) + * -> S*,S,-0.29317027959035613,-0.22417497634887695,normal
Ag12_H2S(g) - H2(g) + * -> S*_1,S,-0.24250254678912597,-0.19673776626586914,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6129727487506216,0.6553571224212646,normal
Ag12_H2S(g) - H2(g) + * -> S*_2,S,0.7982888036058853,0.9482874870300293,normal
Au12_CH4(g) - H2(g) + * -> CH2*,CH2,2.5714865238724656,2.5209498405456543,normal
Au12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.330149293970919,3.3180155754089355,normal
Au12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.1846758964130402,1.169086217880249,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.1784606591300246,3.179896593093872,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,3.372262584029187,3.3009445667266846,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*,C,4.741423499589473,4.655379295349121,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_1,C,4.896599953587611,4.769186973571777,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.650378552431022,5.591555833816528,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.525164134390252,6.617606163024902,normal
Au12_H2O(g) + * -> H2O*,H2O,-0.0829767612796104,-0.04446983337402344,normal
Au12_H2O(g) + * -> H2O*_1,H2O,-0.07100266387908505,0.028272628784179688,normal
Au12_0.5H2(g) + * -> H*,H,0.3959320299409512,0.03989434242248535,adsorbate_migration
Au12_0.5H2(g) + * -> H*_1,H,0.32240319723953803,0.03919243812561035,normal
Au12_0.5H2(g) + * -> H*_2,H,0.3711066762416806,0.10877251625061035,normal
Au12_0.5H2(g) + * -> H*_3,H,0.5342481744419558,0.3238871097564697,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.4257011372274064,1.1317989826202393,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.6527565977257836,1.3303463459014893,normal
Au12_0.5N2(g) + * -> N*,N,2.802846961285468,2.548459053039551,normal
Au12_0.5N2(g) + * -> N*_1,N,3.0296520770843927,2.7211503982543945,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.5648610854286744,3.132920503616333,normal
