Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.1997690040912868,0.1654019058172886,0.1661013707121813,88.5721546310833,92.8979994837379,8854.0,8083.0,422.0,349,2,330,17
N,0.3052182695910474,0.2258636584188989,0.2260217321576773,87.71348769265806,92.46053627519356,7457.0,6803.0,239.0,415,6,400,9
O,2.857514193265095,0.2407933799415135,3.417042769766426,81.08933479997151,86.61720271597993,7369.0,4482.0,485.0,2402,15,1205,1182
S,0.2307941549088299,0.2023941631385395,0.2162388621218647,88.47944598551395,92.95706996662366,5812.0,5318.0,234.0,260,0,257,3
C,0.2671796085934358,0.2006664662056342,0.2177237607162922,88.07918889947952,92.49369920425869,5291.0,4754.0,218.0,319,11,306,2
SH,0.2785706038631529,0.1219270055578827,0.1228527338775028,80.72184589331071,84.6343390028925,1770.0,1280.0,401.0,89,3,86,0
NH,0.447246055154505,0.3310460640439859,0.3260778609882864,87.74773578070287,92.21041658393237,1558.0,1411.0,88.0,59,0,59,0
H2O,0.1066648634470209,0.07208658433666754,0.4073219767686135,75.90011286681717,79.98969806232674,1534.0,981.0,520.0,33,0,33,0
CH,0.2032848824118465,0.1266591374391283,0.12228381452491,89.36053175849098,93.31059320992259,1508.0,1385.0,80.0,43,0,43,0
CH2,0.2202460167127761,0.1183474132649571,0.1062290931481508,85.23646623400329,89.6813580532628,1458.0,1224.0,174.0,60,0,60,0
CH3,0.1372923168535999,0.1039281131245509,0.09217378398284788,86.54407697458443,91.08665473101755,1284.0,1157.0,99.0,28,0,28,0
OH,0.2508626095322999,0.09913626574980851,0.243742820013264,84.42370383602007,88.6309899696004,1235.0,1070.0,98.0,67,1,62,4
