reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.9598894119262695,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.9472856521606445,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.6023149490356445,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.5501456260681152,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.585160732269287,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.5848135948181152,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.4476408958435059,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,3.940247058868408,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,3.9929356575012207,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.578487396240234,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.634223937988281,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.617401599884033,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,7.048587799072266,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.03545951843261719,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.06688690185546875,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.034633636474609375,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.23664331436157227,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,0.10003519058227539,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.12388086318969727,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.6343636512756348,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,1.1404404640197754,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,1.2166008949279785,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.8931102752685547,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.967500686645508,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.7973999977111816,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,4.225164413452148,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.6386637687683105,adsorbate_migration
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.6359515190124512,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.674994945526123,normal
Ag12_H2O(g) - H2(g) + * -> O*,O,1.9617996856357536,2.076838493347168,normal
Ag12_H2O(g) - H2(g) + * -> O*_1,O,2.0506805009388813,2.138331413269043,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,1.3874351285820694,1.4628710746765137,normal
Ag12_H2O(g) - H2(g) + * -> O*_2,O,3.426808483239995,3.5328989028930664,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*,SH,0.0390709212525735,-0.32790040969848633,adsorbate_migration
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,-0.0825627400471376,-0.15067529678344727,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,-0.06756368924732215,-0.1236729621887207,normal
Ag12_H2S(g) - H2(g) + * -> S*,S,-0.29317027959035613,-0.22417926788330078,normal
Ag12_H2S(g) - H2(g) + * -> S*_1,S,-0.24250254678912597,-0.19673633575439453,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6129727487506216,0.6553568840026855,normal
Ag12_H2S(g) - H2(g) + * -> S*_2,S,0.7982888036058853,0.9482870101928711,normal
Au12_CH4(g) - H2(g) + * -> CH2*,CH2,2.5714865238724656,2.520949363708496,normal
Au12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.330149293970919,3.3180150985717773,normal
Au12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.1846758964130402,1.16908597946167,normal
