Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.155713554018473,0.100356133795799,0.1151315590225599,89.00849540192374,92.63670313851522,8854.0,7912.0,417.0,525,4,517,4
N,0.3108199101899978,0.2153782687759891,0.2473096745793381,88.22769249681153,92.35001476264603,7457.0,6638.0,202.0,617,6,586,25
O,0.3096431345047601,0.2559919535759555,0.2803607286529773,88.43840089460451,92.55951089454764,7369.0,6605.0,236.0,528,6,515,7
S,0.335805450030439,0.302370360903371,0.3224672333179204,88.94911315311462,92.77507115499472,5812.0,5191.0,219.0,402,5,397,0
C,0.2663476701266992,0.1678095258478225,0.1885577229934678,88.89347654851423,92.83188508183113,5291.0,4736.0,177.0,378,5,373,0
SH,0.3083869108908159,0.225349053119935,0.2428123455428464,83.71389196072516,86.7346348398186,1770.0,1355.0,319.0,96,7,89,0
NH,0.3142347738922929,0.1699938104432974,0.1824489436972193,88.22316145393074,91.84530002779822,1558.0,1380.0,95.0,83,0,82,1
H2O,0.1359116338963113,0.1285485191168308,0.1488224105784597,87.7555530499492,90.66871222514726,1534.0,1393.0,99.0,42,0,42,0
CH,0.29133354352475,0.1993539247715995,0.2079507732798326,89.46138895118492,93.00329424490457,1508.0,1364.0,74.0,70,0,70,0
CH2,0.2251982512988629,0.1405925536483807,0.146704076070944,85.63628899835808,89.60980825769074,1458.0,1230.0,150.0,78,0,78,0
CH3,0.1615625366868497,0.1473546198682783,0.1584740919181697,86.15956796413286,90.37109019712999,1284.0,1111.0,134.0,39,0,39,0
OH,0.2170734388122228,0.1809071411740155,0.1871430740133523,89.0638443561233,91.24914944756881,1235.0,1092.0,99.0,44,0,44,0
