Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.2203559208942865,0.1868420276561069,0.1868863864756892,85.19679584282585,91.28776883882,8854.0,8028.0,453.0,373,3,354,16
N,0.3538202147859889,0.2772902249674687,0.2855081029850036,84.2282569638823,90.71226215215158,7457.0,6712.0,279.0,466,9,441,16
O,1.951101637872641,0.3635509705632004,2.149428843597718,80.37514834564004,87.46821607471868,7369.0,4781.0,562.0,2026,8,829,1189
S,0.273183040327391,0.2468905903869349,0.2657078311193491,84.70747738501821,90.98001516014959,5812.0,5223.0,296.0,293,0,290,3
C,0.3070982728758381,0.2327622844163084,0.241341847939795,84.42917940853532,90.517381326824,5291.0,4657.0,291.0,343,11,327,5
SH,0.2974081470024111,0.1319929470343254,0.1255058116270364,75.37406244549102,81.5009177995756,1770.0,1195.0,481.0,94,3,91,0
NH,0.3892407818287524,0.2687668969428462,0.2704368137267579,82.71440647264826,89.8688098169251,1558.0,1394.0,97.0,67,0,67,0
H2O,0.1017141983214149,0.07809121039072735,0.2240444727417914,76.969932127221,82.475508307369,1534.0,1135.0,369.0,30,0,30,0
CH,0.2595116417670969,0.1941603134474992,0.1933893025868757,84.28970122847687,91.12309577074679,1508.0,1372.0,89.0,47,0,47,0
CH2,0.2748478094834776,0.1658165283851948,0.1560161514923085,79.92702061667586,87.07860834683316,1458.0,1200.0,187.0,71,0,71,0
CH3,0.1582676406003233,0.1323809990323916,0.1261788142584274,82.24941046318665,89.55231739892159,1284.0,1158.0,95.0,31,0,31,0
OH,0.2510322885361092,0.1353057560419162,0.2280525711144399,81.44755057383996,87.65098223508043,1235.0,1060.0,107.0,68,1,58,9
