reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.7821807861328125,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.755218505859375,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.3636131286621094,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.4538087844848633,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.4777956008911133,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.4764604568481445,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.3928117752075195,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,3.7216482162475586,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,3.7699575424194336,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.191595077514648,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.229780197143555,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.216296195983887,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,6.650732040405273,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.032192230224609375,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.0673065185546875,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.018115997314453125,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.1800088882446289,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,0.04772663116455078,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.0655221939086914,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.6291780471801758,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,1.087533950805664,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,1.1559429168701172,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.691624641418457,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.750481605529785,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.507497787475586,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,3.993218421936035,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.6396512985229492,adsorbate_migration
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.6406011581420898,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.6719694137573242,normal
Ag12_H2O(g) - H2(g) + * -> O*,O,1.9617996856357536,1.9095897674560547,normal
Ag12_H2O(g) - H2(g) + * -> O*_1,O,2.0506805009388813,1.9551258087158203,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,1.3874351285820694,1.284529685974121,normal
Ag12_H2O(g) - H2(g) + * -> O*_2,O,3.426808483239995,3.257589340209961,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*,SH,0.0390709212525735,-0.2985258102416992,adsorbate_migration
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,-0.0825627400471376,-0.17520809173583984,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,-0.06756368924732215,-0.1460714340209961,normal
Ag12_H2S(g) - H2(g) + * -> S*,S,-0.29317027959035613,-0.19657516479492188,normal
Ag12_H2S(g) - H2(g) + * -> S*_1,S,-0.24250254678912597,-0.16703033447265625,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6129727487506216,0.4963083267211914,normal
Ag12_H2S(g) - H2(g) + * -> S*_2,S,0.7982888036058853,0.7948703765869141,normal
Au12_CH4(g) - H2(g) + * -> CH2*,CH2,2.5714865238724656,2.3616104125976562,normal
Au12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.330149293970919,3.132915496826172,normal
Au12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.1846758964130402,1.0856142044067383,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.1784606591300246,3.0175046920776367,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,3.372262584029187,3.1349592208862305,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*,C,4.741423499589473,4.456872940063477,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_1,C,4.896599953587611,4.564023971557617,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.650378552431022,5.371737480163574,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.525164134390252,6.435224533081055,normal
Au12_H2O(g) + * -> H2O*,H2O,-0.0829767612796104,-0.0176544189453125,normal
Au12_H2O(g) + * -> H2O*_1,H2O,-0.07100266387908505,0.017871856689453125,normal
Au12_0.5H2(g) + * -> H*,H,0.3959320299409512,-0.014212608337402344,adsorbate_migration
Au12_0.5H2(g) + * -> H*_1,H,0.32240319723953803,-0.014163017272949219,normal
Au12_0.5H2(g) + * -> H*_2,H,0.3711066762416806,0.058449745178222656,normal
Au12_0.5H2(g) + * -> H*_3,H,0.5342481744419558,0.3087282180786133,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.4257011372274064,1.1008129119873047,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.6527565977257836,1.288900375366211,normal
Au12_0.5N2(g) + * -> N*,N,2.802846961285468,2.460263252258301,normal
Au12_0.5N2(g) + * -> N*_1,N,3.0296520770843927,2.624302864074707,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.5648610854286744,2.9567928314208984,normal
Au12_0.5N2(g) + * -> N*_2,N,4.699254834386011,3.9381189346313477,normal
