reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.782181739807129,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.7552194595336914,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.363612174987793,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.4538111686706543,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.4777960777282715,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.4764628410339355,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.3928141593933105,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,3.721651554107666,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,3.769960880279541,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.191598892211914,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.229785919189453,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.216299533843994,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,6.650732040405273,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.032192230224609375,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.0673065185546875,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.018115997314453125,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.1800084114074707,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,0.04772615432739258,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.0655217170715332,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.6291794776916504,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,1.0875334739685059,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,1.155942440032959,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.691624641418457,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.750481605529785,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.5074973106384277,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,3.993218421936035,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.6396517753601074,adsorbate_migration
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.640601634979248,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.6719698905944824,normal
Ag12_H2O(g) - H2(g) + * -> O*,O,1.9617996856357536,1.909590721130371,normal
Ag12_H2O(g) - H2(g) + * -> O*_1,O,2.0506805009388813,1.9551267623901367,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,1.3874351285820694,1.2845301628112793,normal
Ag12_H2O(g) - H2(g) + * -> O*_2,O,3.426808483239995,3.257594108581543,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*,SH,0.0390709212525735,-0.298525333404541,adsorbate_migration
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,-0.0825627400471376,-0.17520761489868164,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,-0.06756368924732215,-0.1460709571838379,normal
Ag12_H2S(g) - H2(g) + * -> S*,S,-0.29317027959035613,-0.19657230377197266,normal
Ag12_H2S(g) - H2(g) + * -> S*_1,S,-0.24250254678912597,-0.16702556610107422,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6129727487506216,0.4963088035583496,normal
Ag12_H2S(g) - H2(g) + * -> S*_2,S,0.7982888036058853,0.7948732376098633,normal
Au12_CH4(g) - H2(g) + * -> CH2*,CH2,2.5714865238724656,2.361607551574707,normal
Au12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.330149293970919,3.1329164505004883,normal
Au12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.1846758964130402,1.0856146812438965,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.1784606591300246,3.0175061225891113,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,3.372262584029187,3.134960651397705,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*,C,4.741423499589473,4.456871032714844,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_1,C,4.896599953587611,4.56402587890625,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.650378552431022,5.371738910675049,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.525164134390252,6.4352264404296875,normal
Au12_H2O(g) + * -> H2O*,H2O,-0.0829767612796104,-0.0176544189453125,normal
Au12_H2O(g) + * -> H2O*_1,H2O,-0.07100266387908505,0.017871856689453125,normal
Au12_0.5H2(g) + * -> H*,H,0.3959320299409512,-0.014213085174560547,adsorbate_migration
Au12_0.5H2(g) + * -> H*_1,H,0.32240319723953803,-0.014163494110107422,normal
Au12_0.5H2(g) + * -> H*_2,H,0.3711066762416806,0.05844926834106445,normal
Au12_0.5H2(g) + * -> H*_3,H,0.5342481744419558,0.3087277412414551,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.4257011372274064,1.1008124351501465,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.6527565977257836,1.2888998985290527,normal
Au12_0.5N2(g) + * -> N*,N,2.802846961285468,2.460263252258301,normal
Au12_0.5N2(g) + * -> N*_1,N,3.0296520770843927,2.624302864074707,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.5648610854286744,2.9567923545837402,normal
Au12_0.5N2(g) + * -> N*_2,N,4.699254834386011,3.9381189346313477,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.2733503133794102,1.2298808097839355,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,1.3747626511802764,1.3751025199890137,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,1.4154380916778564,1.4352564811706543,normal
Au12_H2O(g) - H2(g) + * -> O*,O,2.4150319511352905,2.373385429382324,normal
Au12_H2O(g) - H2(g) + * -> O*_1,O,2.6192316179365775,2.534571647644043,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,2.035280490378568,1.9678874015808105,normal
Au12_H2O(g) - H2(g) + * -> O*_2,O,3.705461217435925,3.592982292175293,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*,SH,-0.09348416505497426,-0.1255936622619629,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,0.4475461747471172,0.29181814193725586,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,0.48313512734705455,0.3546004295349121,normal
Au12_H2S(g) - H2(g) + * -> S*,S,-0.17403244629525716,-0.16771221160888672,normal
Au12_H2S(g) - H2(g) + * -> S*_1,S,-0.02868610479703193,-0.05240917205810547,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,1.1557767265450138,1.1471800804138184,normal
Au12_H2S(g) - H2(g) + * -> S*_2,S,1.1284503745046663,1.2708024978637695,normal
Ga12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.053555530314128,1.050443172454834,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*,CH,2.607007448028554,2.634289264678955,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,2.5797313010316714,2.62235689163208,normal
Ga12_CH4(g) - 2.0H2(g) + * -> C*,C,4.109268357887231,3.9785213470458984,normal
Ga12_CH4(g) - 2.0H2(g) + * -> C*_1,C,3.505704489388336,3.4851646423339844,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,4.760126700135544,4.668320178985596,normal
Ga12_H2O(g) + * -> H2O*,H2O,-0.0873150721837419,-0.04828643798828125,normal
Ga12_H2O(g) + * -> H2O*_1,H2O,-0.0700512178829058,-0.04846954345703125,normal
Ga12_0.5H2(g) + * -> H*,H,0.6488109577412899,0.3986477851867676,normal
Ga12_0.5H2(g) + * -> H*_1,H,0.6513263780443879,0.38178300857543945,normal
Ga12_0.5H2(g) + * -> H*_2,H,0.8234530751442719,0.48264360427856445,normal
Ga12_0.5H2(g) + * -> H*_3,H,0.6803177945485288,0.5439457893371582,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,0.0723870431238538,-0.07993555068969727,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,0.2656439240226973,0.01104879379272461,normal
Ga12_0.5N2(g) + * -> N*,N,1.0117555793895008,0.7710466384887695,normal
Ga12_0.5N2(g) + * -> N*_1,N,1.029164742480134,0.7551240921020508,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,1.9551841901256921,1.5743346214294434,normal
Ga12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.2459182557767008,0.28586530685424805,normal
Ga12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.36038811217883904,0.36332273483276367,normal
Ga12_H2O(g) - H2(g) + * -> O*,O,0.1336827261437179,0.25077342987060547,normal
Ga12_H2O(g) - H2(g) + * -> O*_1,O,0.3580156876449223,0.3879232406616211,normal
Ga12_H2O(g) - H2(g) + * -> O*_2,O,1.6785577516455419,1.7140073776245117,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*,SH,-0.18977096655623882,-0.15012216567993164,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,0.12239762105411955,0.15293264389038086,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,0.14315596124754393,0.1889357566833496,normal
Ga12_H2S(g) - H2(g) + * -> S*,S,-0.6562656522873453,-0.49639415740966797,normal
Ga12_H2S(g) - H2(g) + * -> S*_1,S,-0.4853759846882326,-0.3569822311401367,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6441176742456491,0.7694525718688965,normal
Ga12_H2S(g) - H2(g) + * -> S*_2,S,0.16852649500657435,0.32616138458251953,normal
Hf12_CH4(g) - H2(g) + * -> CH2*,CH2,0.11335010797398581,0.18719768524169922,normal
Hf12_CH4(g) - H2(g) + * -> CH2*_1,CH2,-0.04695446732597475,0.08304691314697266,normal
Hf12_CH4(g) - H2(g) + * -> CH2*_2,CH2,0.14139851397618486,0.18065166473388672,normal
Hf12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,-0.18301655688256346,-0.16289758682250977,normal
Hf12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,-0.08891904718248611,-0.07851648330688477,normal
Hf12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,0.6336014267181724,0.6736197471618652,normal
Hf12_CH4(g) - 1.5H2(g) + * -> CH*,CH,0.295928561534339,0.5602154731750488,normal
