Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.1999317951289576,0.1645298454191811,0.165469292488246,87.90635424245676,92.62083936418755,8854.0,8105.0,409.0,340,1,321,18
N,0.3081002447526051,0.2295410456760045,0.2280704067672103,87.24113307990014,92.3373949013756,7457.0,6814.0,231.0,412,7,394,11
O,3.006764235377498,0.2494464403272089,3.468108132373537,81.061944942492,87.04943731660171,7369.0,4473.0,450.0,2446,12,1127,1307
S,0.2315868351198508,0.2027965373261835,0.2158046363186545,87.87808940558921,92.72122384090326,5812.0,5320.0,227.0,265,0,262,3
C,0.2566215407647084,0.1895811291240142,0.2014137652067784,87.59562072939453,92.33778771176448,5291.0,4763.0,223.0,305,7,296,2
SH,0.2881687640481657,0.1294362539875362,0.1266080028343677,79.61756497470788,84.27581311306183,1770.0,1290.0,385.0,95,8,87,0
NH,0.4522071270583155,0.3339394852434713,0.3267687253534514,86.42253351044559,91.59862594813565,1558.0,1406.0,95.0,57,0,56,1
H2O,0.1176573298998105,0.08554996114922606,0.4428319137383364,74.30569390071572,79.21255208769793,1534.0,975.0,529.0,30,0,30,0
CH,0.2177182332769692,0.1492478584730966,0.142377431967601,88.41980015449413,93.15448533569355,1508.0,1395.0,72.0,41,0,41,0
CH2,0.2354560582320805,0.1249955183524981,0.1111665703030913,83.59527719133641,88.8571532652763,1458.0,1220.0,178.0,60,0,60,0
CH3,0.1413817411331774,0.1076583079362196,0.09356858294260761,84.30842237037467,89.90011871822608,1284.0,1157.0,98.0,29,0,29,0
OH,0.2514960786628406,0.1006280738069868,0.249794360561901,82.95784396909772,88.0090464511769,1235.0,1076.0,92.0,67,1,61,5
