reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.94915771484375,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.938718795776367,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.576231002807617,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.5555353164672852,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.4432554244995117,adsorbate_migration
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.4430532455444336,adsorbate_migration
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.4421586990356445,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,3.8830251693725586,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,3.9330358505249023,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.480670928955078,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.531074523925781,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.574149131774902,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,7.017478942871094,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.023242950439453125,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.052707672119140625,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.022975921630859375,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.23273372650146484,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,0.10234737396240234,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.12777233123779297,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.6129255294799805,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,1.1078729629516602,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,1.1879816055297852,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.8461780548095703,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.9240779876708984,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.79512882232666,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,4.254140853881836,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.6246957778930664,adsorbate_migration
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.6226625442504883,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.6683778762817383,normal
