Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.1981937111590797,0.1647725181107634,0.1654692158787071,88.03219231864759,92.73508920275779,8854.0,8115.0,396.0,343,2,323,18
N,0.3074460108181304,0.2295171836300597,0.2280704342635195,87.35232093052953,92.44163622003819,7457.0,6819.0,234.0,404,6,387,11
O,2.999536196669833,0.2493614146658014,3.468108122214297,81.19480131729296,87.13686151729104,7369.0,4477.0,438.0,2454,14,1134,1306
S,0.231786720666623,0.2026594139341809,0.2158038685140184,87.94112204671622,92.76729224175209,5812.0,5322.0,230.0,260,0,257,3
C,0.2525182276225475,0.1898601428670876,0.2014137498859852,87.72210111644486,92.44637832954355,5291.0,4762.0,219.0,310,7,301,2
SH,0.2899258857661772,0.1292595780728756,0.126607598196282,79.92573460919638,84.54071402712408,1770.0,1291.0,382.0,97,7,90,0
NH,0.4484856193614609,0.3347904074937947,0.3267687845755247,86.54902789518175,91.72737381358924,1558.0,1410.0,87.0,61,0,60,1
H2O,0.1175683621181789,0.08561742263790091,0.4428320660526828,74.32396534032611,79.23189981627976,1534.0,974.0,529.0,31,0,31,0
CH,0.2186554299818169,0.1494437583812294,0.1423774401889313,88.34535645760127,93.09267727052982,1508.0,1391.0,70.0,47,0,47,0
CH2,0.2343699147022119,0.1248229285754609,0.11116674036847,83.6196470925536,88.88016748523575,1458.0,1221.0,177.0,60,0,60,0
CH3,0.1412412034077466,0.1076576139052996,0.0935687849670734,84.34066493929959,89.93264655477782,1284.0,1157.0,98.0,29,0,29,0
OH,0.2485814294930805,0.1008686292487072,0.2497945713741183,83.0321231337173,88.09363664400165,1235.0,1078.0,90.0,67,2,60,5
