Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.1539683640067733,0.08334085122278442,0.1021239761320515,89.98709562427592,93.4401248497991,8854.0,7793.0,369.0,692,7,681,4
N,0.2962593342589353,0.2033311682560022,0.2381380816380886,89.12823547109258,92.7579506290918,7457.0,6545.0,147.0,765,18,723,24
O,0.4253584016667833,0.3477829354151801,0.3726681067342754,89.48887172862501,93.21080525431049,7369.0,6494.0,174.0,701,14,672,15
S,0.3653642913300198,0.3205395320667703,0.3368170163747278,89.85352360444891,93.20783161095943,5812.0,5051.0,220.0,541,13,528,0
C,0.2935193513147331,0.1922480474342652,0.2185587612297278,89.35540878849973,92.70880103528775,5291.0,4596.0,153.0,542,23,518,1
SH,0.3519775281068647,0.2595151692448899,0.274336762548137,84.88179128153503,87.35903783067998,1770.0,1365.0,314.0,91,4,87,0
NH,0.2982500197978191,0.1516265723383599,0.1614809509636935,88.6605482429657,91.97539811762813,1558.0,1349.0,94.0,115,0,115,0
H2O,0.1304982525613929,0.1262878955563566,0.1470627148344024,86.24873503120264,88.9997192023961,1534.0,1302.0,186.0,46,0,46,0
CH,0.2629040799682161,0.1774268582123064,0.1899437985419529,90.11580822805321,93.30174299972943,1508.0,1348.0,68.0,92,0,92,0
CH2,0.2810602199902053,0.1621100953896004,0.1672934191204166,85.33824640967481,88.56525409927391,1458.0,1168.0,191.0,99,0,99,0
CH3,0.1785403254464791,0.1694299066370966,0.1782917878079742,87.37212145913996,91.32768145219244,1284.0,1153.0,94.0,37,0,37,0
OH,0.2294600975415598,0.1882591861054991,0.1930257390512718,90.98014260408748,92.64753107269952,1235.0,1102.0,70.0,63,0,63,0
