reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,2.8294672896638247,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,2.8404820646599056,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.413556773980563,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.4165229659703584,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.479710819129476,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.4717930850277554,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.2902325283884863,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,3.837525762019201,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,3.892750162115874,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.484611396662739,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.49900847487126,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.4302075756711226,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,6.799844855036994,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.10799069489837976,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.21446079066129542,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.12550324156704917,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.3091136399311267,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,0.1935383319271864,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.19606223853008942,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.7002558917390047,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,1.0821491003053119,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,1.1576748636800964,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.876836647377477,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.948336422567806,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.7836575684289855,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,4.460764552382702,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.5320545054113808,adsorbate_migration
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.5232349054422158,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.541209531072262,normal
Ag12_H2O(g) - H2(g) + * -> O*,O,1.9617996856357536,1.9958639800393954,normal
Ag12_H2O(g) - H2(g) + * -> O*_1,O,2.0506805009388813,2.0681247147102866,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,1.3874351285820694,1.3691656666638607,normal
Ag12_H2O(g) - H2(g) + * -> O*_2,O,3.426808483239995,3.4159406990744188,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*,SH,0.0390709212525735,-0.16995720689136107,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,-0.0825627400471376,-0.2803517542512708,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,-0.06756368924732215,-0.2668467232072018,normal
Ag12_H2S(g) - H2(g) + * -> S*,S,-0.29317027959035613,-0.39664629974706145,normal
Ag12_H2S(g) - H2(g) + * -> S*_1,S,-0.24250254678912597,-0.36909961854396656,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6129727487506216,0.39769190912659624,normal
Ag12_H2S(g) - H2(g) + * -> S*_2,S,0.7982888036058853,0.6102015200302624,normal
Au12_CH4(g) - H2(g) + * -> CH2*,CH2,2.5714865238724656,2.3132460627451508,normal
Au12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.330149293970919,3.1495279310436253,normal
Au12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.1846758964130402,0.9617220132003048,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.1784606591300246,2.9306991448755646,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,3.372262584029187,3.114685316101685,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*,C,4.741423499589473,4.4785741048182,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_1,C,4.896599953587611,4.609267470792361,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.650378552431022,5.519370692610746,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.525164134390252,6.354582352279152,normal
Au12_H2O(g) + * -> H2O*,H2O,-0.0829767612796104,-0.18834532040146001,adsorbate_migration
Au12_H2O(g) + * -> H2O*_1,H2O,-0.07100266387908505,-0.04907318264577043,normal
Au12_0.5H2(g) + * -> H*,H,0.3959320299409512,0.18474533344408428,normal
Au12_0.5H2(g) + * -> H*_1,H,0.32240319723953803,0.11778622345160983,normal
Au12_0.5H2(g) + * -> H*_2,H,0.3711066762416806,0.16185681191834078,normal
Au12_0.5H2(g) + * -> H*_3,H,0.5342481744419558,0.33900670618694306,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.4257011372274064,1.034284717982267,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.6527565977257836,1.2516330572109453,normal
Au12_0.5N2(g) + * -> N*,N,2.802846961285468,2.477053616978914,normal
Au12_0.5N2(g) + * -> N*_1,N,3.0296520770843927,2.6975746121135202,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.5648610854286744,3.349768277663806,normal
Au12_0.5N2(g) + * -> N*_2,N,4.699254834386011,4.490201208928255,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.2733503133794102,1.1191451357897577,unphysical_relaxation
Au12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,1.3747626511802764,1.3416985849460232,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,1.4154380916778564,1.3700417959309874,normal
Au12_H2O(g) - H2(g) + * -> O*,O,2.4150319511352905,2.3697841593082387,normal
Au12_H2O(g) - H2(g) + * -> O*_1,O,2.6192316179365775,2.5813969286807605,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,2.035280490378568,2.0502134382121042,normal
Au12_H2O(g) - H2(g) + * -> O*_2,O,3.705461217435925,3.7270153074701398,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*,SH,-0.09348416505497426,-0.4190464882794771,unphysical_relaxation
Au12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,0.4475461747471172,0.23125408484008858,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,0.48313512734705455,0.26476239353809206,normal
Au12_H2S(g) - H2(g) + * -> S*,S,-0.17403244629525716,-0.3729651929183859,normal
Au12_H2S(g) - H2(g) + * -> S*_1,S,-0.02868610479703193,-0.22596369617744472,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,1.1557767265450138,1.070146730766183,normal
Au12_H2S(g) - H2(g) + * -> S*_2,S,1.1284503745046663,1.036347962936567,normal
Ga12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.053555530314128,0.9920128669101409,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*,CH,2.607007448028554,2.502982769350538,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,2.5797313010316714,2.4724139973525077,normal
Ga12_CH4(g) - 2.0H2(g) + * -> C*,C,4.109268357887231,4.041199317627381,normal
Ga12_CH4(g) - 2.0H2(g) + * -> C*_1,C,3.505704489388336,3.366400650599587,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,4.760126700135544,4.737243250747831,normal
Ga12_H2O(g) + * -> H2O*,H2O,-0.0873150721837419,-0.16580907984092974,adsorbate_migration
Ga12_H2O(g) + * -> H2O*_1,H2O,-0.0700512178829058,-0.08065632065046913,normal
Ga12_0.5H2(g) + * -> H*,H,0.6488109577412899,0.5551379411898054,normal
Ga12_0.5H2(g) + * -> H*_1,H,0.6513263780443879,0.5683600146113506,normal
Ga12_0.5H2(g) + * -> H*_2,H,0.8234530751442719,0.6955099461577987,normal
Ga12_0.5H2(g) + * -> H*_3,H,0.6803177945485288,0.5568166419407277,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,0.0723870431238538,-0.17714417752376832,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,0.2656439240226973,-0.014507691097037423,normal
Ga12_0.5N2(g) + * -> N*,N,1.0117555793895008,0.8817009836306653,normal
Ga12_0.5N2(g) + * -> N*_1,N,1.029164742480134,0.8479097273088172,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,1.9551841901256921,1.7402934897908082,normal
Ga12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.2459182557767008,0.24746125394345597,normal
Ga12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.36038811217883904,0.3426488625739026,normal
Ga12_H2O(g) - H2(g) + * -> O*,O,0.1336827261437179,0.21433726697822664,normal
Ga12_H2O(g) - H2(g) + * -> O*_1,O,0.3580156876449223,0.4003237764683547,normal
Ga12_H2O(g) - H2(g) + * -> O*_2,O,1.6785577516455419,1.7131326726167515,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*,SH,-0.18977096655623882,-0.3174053896270195,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,0.12239762105411955,0.09285462680720968,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,0.14315596124754393,0.10975814392604377,normal
Ga12_H2S(g) - H2(g) + * -> S*,S,-0.6562656522873453,-0.7147795757234547,normal
Ga12_H2S(g) - H2(g) + * -> S*_1,S,-0.4853759846882326,-0.5627174499696146,normal
Ga12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6441176742456491,0.6242953882915074,normal
Ga12_H2S(g) - H2(g) + * -> S*_2,S,0.16852649500657435,0.10755087049727052,normal
Hf12_CH4(g) - H2(g) + * -> CH2*,CH2,0.11335010797398581,-0.006022034515424934,normal
