Adsorbate_name,MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Num_normal,Num_adsorbate_migration,Anomaly count,Unnamed: 10,Unnamed: 11,Unnamed: 12
H,0.2796785445795649,0.2287084673440211,0.2245259228083154,86.30308132095284,91.41227893890682,8854.0,7789.0,454.0,611,5,584,22
N,0.3303071864668028,0.2344628235585449,0.2340188063973995,86.67315545260169,91.75056254296766,7457.0,6612.0,172.0,673,13,647,13
O,6.211464990058653,0.2984483256250688,7.532393768107721,78.89862663871094,85.58420834556073,7369.0,4332.0,286.0,2751,24,1657,1070
S,0.2647290727021361,0.2338759003357935,0.2437354838020189,87.44497482719368,92.32166909162456,5812.0,5210.0,204.0,398,3,394,1
C,0.4150679812585032,0.3566644459418482,0.3755355321895433,86.36705407478846,91.17565342286073,5291.0,4580.0,191.0,520,13,504,3
SH,0.2923415389880454,0.1303414827938036,0.1184627735226257,79.797903246179,84.43168129409729,1770.0,1333.0,348.0,89,10,79,0
NH,0.629902412126668,0.4415133482788317,0.4263843620741092,85.16320492694098,90.16381398673559,1558.0,1324.0,130.0,104,0,102,2
H2O,0.3839028111061965,0.08895857202487853,0.9651808050208124,72.18824771287824,77.17179665200968,1534.0,882.0,581.0,71,1,63,7
CH,0.2227417417561808,0.1567180093593888,0.1604707053658901,87.62309685779073,92.45546213666971,1508.0,1355.0,73.0,80,0,80,0
CH2,0.2987720787672613,0.1405872699049687,0.1371046607238552,78.73058278429482,83.83715143828506,1458.0,1051.0,318.0,89,1,88,0
CH3,0.1696896994835769,0.1416006767098245,0.1449431975021957,80.88086772044106,87.49226173514005,1284.0,1113.0,132.0,39,0,39,0
OH,0.4172719389563469,0.1065069172126697,0.4577095172052635,82.53129698268809,87.36235736419313,1235.0,1027.0,123.0,85,4,76,5
