reaction,adsorbate,DFT,MLIP,classification
Ag12_CH4(g) - H2(g) + * -> CH2*,CH2,3.0098093998740865,3.0402077817603974,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.0149360245769117,3.033309113044563,normal
Ag12_CH4(g) - H2(g) + * -> CH2*_2,CH2,3.5660409709735745,3.734355487864189,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.6032765057171616,1.6960612376791424,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_1,CH3,1.6497815771145667,1.7234514395524734,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_2,CH3,1.6447031165153874,1.7359178527934453,normal
Ag12_CH4(g) - 0.5H2(g) + * -> CH3*_3,CH3,1.476338937514896,1.584529230572727,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.9969136423369775,3.9960419202233872,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,4.06594320883417,4.08473172468554,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*,C,5.608978744789965,5.673112081541209,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_1,C,5.667144574389567,5.730767475514156,normal
Ag12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.58535246073555,5.782732826117108,normal
Ag12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.984898423889717,7.303911425033043,normal
Ag12_H2O(g) + * -> H2O*,H2O,-0.08069304587309034,-0.09677307669700497,normal
Ag12_H2O(g) + * -> H2O*_1,H2O,-0.12029921507394192,-0.10322135990680437,normal
Ag12_H2O(g) + * -> H2O*_2,H2O,-0.0781264681737639,-0.12000122835908655,normal
Ag12_0.5H2(g) + * -> H*,H,0.46221515144227965,0.17381413990726102,normal
Ag12_0.5H2(g) + * -> H*_1,H,0.33815532304382145,0.05924671376651247,normal
Ag12_0.5H2(g) + * -> H*_2,H,0.35534747534350686,0.06982099694964106,normal
Ag12_0.5H2(g) + * -> H*_3,H,0.8448673457469624,0.5653525593831148,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.395891202227176,0.9511932115092776,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.4894360486277947,1.055869804186159,normal
Ag12_0.5N2(g) + * -> N*,N,3.1123935958876245,2.7233868124340006,normal
Ag12_0.5N2(g) + * -> N*_1,N,3.206737232487285,2.842876948306184,normal
Ag12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.067950603231111,2.8356034491038287,normal
Ag12_0.5N2(g) + * -> N*_2,N,4.745673237490337,4.377009516059118,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.7181514141819889,0.5649781588398,adsorbate_migration
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.5630175459781412,0.5623899107361297,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,0.5899550472794317,0.6045410027600013,normal
Ag12_H2O(g) - H2(g) + * -> O*,O,1.9617996856357536,2.0274939168621557,normal
Ag12_H2O(g) - H2(g) + * -> O*_1,O,2.0506805009388813,2.127330228919078,normal
Ag12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,1.3874351285820694,1.4446678056593214,normal
Ag12_H2O(g) - H2(g) + * -> O*_2,O,3.426808483239995,3.5999107124349266,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*,SH,0.0390709212525735,-0.3612171247871423,adsorbate_migration
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,-0.0825627400471376,-0.1832194775030267,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,-0.06756368924732215,-0.1546528110355574,normal
Ag12_H2S(g) - H2(g) + * -> S*,S,-0.29317027959035613,-0.2884460575289758,normal
Ag12_H2S(g) - H2(g) + * -> S*_1,S,-0.24250254678912597,-0.2336008223462649,normal
Ag12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,0.6129727487506216,0.6294261555394378,normal
Ag12_H2S(g) - H2(g) + * -> S*_2,S,0.7982888036058853,0.9695085921270667,normal
Au12_CH4(g) - H2(g) + * -> CH2*,CH2,2.5714865238724656,2.606707895212054,normal
Au12_CH4(g) - H2(g) + * -> CH2*_1,CH2,3.330149293970919,3.475164045927599,normal
Au12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.1846758964130402,1.3297576547910168,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*,CH,3.1784606591300246,3.1518682019040156,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,3.372262584029187,3.3777308714266496,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*,C,4.741423499589473,4.745123319824941,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_1,C,4.896599953587611,4.920071794891456,normal
Au12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,5.650378552431022,5.802188181149241,normal
Au12_CH4(g) - 2.0H2(g) + * -> C*_2,C,6.525164134390252,6.876796370076185,normal
Au12_H2O(g) + * -> H2O*,H2O,-0.0829767612796104,0.009726200211218838,normal
Au12_H2O(g) + * -> H2O*_1,H2O,-0.07100266387908505,0.014212407602713029,normal
Au12_0.5H2(g) + * -> H*,H,0.3959320299409512,0.052000540954459495,normal
Au12_0.5H2(g) + * -> H*_1,H,0.32240319723953803,-0.018529297360316832,normal
Au12_0.5H2(g) + * -> H*_2,H,0.3711066762416806,0.03221170497372583,normal
Au12_0.5H2(g) + * -> H*_3,H,0.5342481744419558,0.21071914491644606,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,1.4257011372274064,0.8557657220660531,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,1.6527565977257836,1.1304113325741127,normal
Au12_0.5N2(g) + * -> N*,N,2.802846961285468,2.4055974260312922,normal
Au12_0.5N2(g) + * -> N*_1,N,3.0296520770843927,2.6750691199912637,normal
Au12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,3.5648610854286744,3.3021639334908457,normal
Au12_0.5N2(g) + * -> N*_2,N,4.699254834386011,4.1581483716654475,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*,OH,1.2733503133794102,1.3288426906538149,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,1.3747626511802764,1.3738862705925996,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_2,OH,1.4154380916778564,1.4420750631493533,normal
Au12_H2O(g) - H2(g) + * -> O*,O,2.4150319511352905,2.4260437451613655,normal
Au12_H2O(g) - H2(g) + * -> O*_1,O,2.6192316179365775,2.6854132835721884,normal
Au12_H2O(g) - 0.5H2(g) + * -> OH*_3,OH,2.035280490378568,2.1147125606582478,normal
Au12_H2O(g) - H2(g) + * -> O*_2,O,3.705461217435925,3.9318199786628583,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*,SH,-0.09348416505497426,-0.08712440624444895,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_1,SH,0.4475461747471172,0.2865771793996572,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_2,SH,0.48313512734705455,0.3570605888474887,normal
Au12_H2S(g) - H2(g) + * -> S*,S,-0.17403244629525716,-0.20698447824967303,normal
Au12_H2S(g) - H2(g) + * -> S*_1,S,-0.02868610479703193,0.008375438640946697,normal
Au12_H2S(g) - 0.5H2(g) + * -> SH*_3,SH,1.1557767265450138,1.2309323841799156,normal
Au12_H2S(g) - H2(g) + * -> S*_2,S,1.1284503745046663,1.3817327741035683,normal
Ga12_CH4(g) - 0.5H2(g) + * -> CH3*,CH3,1.053555530314128,1.36264936493901,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*,CH,2.607007448028554,2.9529489082784934,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*_1,CH,2.5797313010316714,2.8670661230212957,normal
Ga12_CH4(g) - 2.0H2(g) + * -> C*,C,4.109268357887231,4.507683074649748,normal
Ga12_CH4(g) - 2.0H2(g) + * -> C*_1,C,3.505704489388336,3.7823473983413294,normal
Ga12_CH4(g) - 1.5H2(g) + * -> CH*_2,CH,4.760126700135544,5.241155551122226,normal
Ga12_H2O(g) + * -> H2O*,H2O,-0.0873150721837419,-0.040637851916315526,normal
Ga12_H2O(g) + * -> H2O*_1,H2O,-0.0700512178829058,-0.05713872222304417,normal
Ga12_0.5H2(g) + * -> H*,H,0.6488109577412899,0.5351497740398443,normal
Ga12_0.5H2(g) + * -> H*_1,H,0.6513263780443879,0.5287104596452963,normal
Ga12_0.5H2(g) + * -> H*_2,H,0.8234530751442719,0.6834508041180669,normal
Ga12_0.5H2(g) + * -> H*_3,H,0.6803177945485288,0.6065898496162276,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*,NH,0.0723870431238538,-0.13632445713148655,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*_1,NH,0.2656439240226973,-0.0058444879685239925,normal
Ga12_0.5N2(g) + * -> N*,N,1.0117555793895008,1.0267181299956718,normal
Ga12_0.5N2(g) + * -> N*_1,N,1.029164742480134,0.9454002117393827,normal
Ga12_0.5H2(g) + 0.5N2(g) + * -> NH*_2,NH,1.9551841901256921,1.8478254452866665,normal
Ga12_H2O(g) - 0.5H2(g) + * -> OH*,OH,0.2459182557767008,0.3317576162602336,normal
Ga12_H2O(g) - 0.5H2(g) + * -> OH*_1,OH,0.36038811217883904,0.4815022406459377,normal
Ga12_H2O(g) - H2(g) + * -> O*,O,0.1336827261437179,0.43624944834319024,normal
